iter	RMSE
0	111758.5615
1	108296.0502
2	105063.6086
3	102150.7334
4	99600.86868
5	97217.5222
6	95043.36227
7	92719.702
8	91004.52026
9	89249.57186
10	87462.70324
11	85963.27217
12	84651.74098
13	83140.92439
14	81876.86926
15	80359.60365
16	79303.58895
17	78055.85788
18	77197.6951
19	76139.42532
20	75401.32649
21	74659.89891
22	73843.08088
23	73094.4992
24	72553.32477
25	71926.91785
26	71085.45869
27	70571.28867
28	70088.2364
29	69561.99935
30	69225.18571
31	68667.59639
32	68305.74196
33	67813.21877
34	67473.06429
35	67049.71539
36	66621.8445
37	66284.58921
38	65983.31534
39	65661.11555
40	65347.34323
41	64958.22901
42	64701.78311
43	64453.9856
44	64109.52019
45	63822.25103
46	63571.17843
47	63226.74995
48	62961.56595
49	62518.12611
50	62312.89863
51	62120.17015
52	61912.05696
53	61597.83127
54	61305.87416
55	61110.68811
56	60858.79557
57	60703.34225
58	60475.05271
59	60185.94796
60	59991.35218
61	59864.72671
62	59672.80737
63	59516.03107
64	59329.40176
65	59166.25979
66	58884.08733
67	58743.86932
68	58492.86098
69	58283.18907
70	58162.09552
71	57978.97695
72	57863.21134
73	57710.23899
74	57539.23258
75	57424.96089
76	57291.7152
77	57197.02777
78	57069.87704
79	56866.57312
80	56774.51017
81	56666.38658
82	56559.83449
83	56387.08522
84	56268.57099
85	56083.94868
86	55992.13277
87	55894.49928
88	55814.86663
89	55725.97328
90	55624.93022
91	55540.89885
92	55368.74942
93	55280.83127
94	55168.36184
95	55029.26402
96	54944.8389
97	54883.98639
98	54797.34642
99	54705.9945
100	54638.8567
101	54537.0808
102	54394.70143
103	54324.03273
104	54255.74656
105	54219.76428
106	54088.17907
107	54020.70906
108	53954.7313
109	53867.04716
110	53764.65541
111	53706.5101
112	53656.60745
113	53527.72931
114	53463.59325
115	53413.93881
116	53278.07772
117	53208.1009
118	53109.10222
119	53053.88011
120	52997.97923
121	52928.25182
122	52877.4678
123	52824.13133
124	52771.0509
125	52731.94841
126	52558.89566
127	52510.8896
128	52402.59192
129	52322.43742
130	52197.45933
131	52159.36326
132	52130.08919
133	52033.49928
134	51984.90293
135	51912.68147
136	51850.01143
137	51751.58662
138	51690.46884
139	51639.00739
140	51575.42636
141	51535.70812
142	51491.04895
143	51390.78959
144	51281.60315
145	51224.70333
146	51171.517
147	51132.79281
148	51083.05962
149	51004.97644
150	50964.79109
151	50920.9301
152	50883.06746
153	50834.70133
154	50792.12854
155	50758.86931
156	50665.40231
157	50632.66333
158	50586.25127
159	50557.39329
160	50516.25752
161	50472.39555
162	50403.52338
163	50293.12831
164	50199.99744
165	50115.68184
166	50073.02077
167	49999.31612
168	49917.80382
169	49847.12914
170	49809.47845
171	49755.76525
172	49722.44419
173	49684.81678
174	49635.81253
175	49584.67515
176	49533.58842
177	49486.91999
178	49444.94314
179	49355.58776
180	49312.01213
181	49272.37248
182	49233.92272
183	49201.16921
184	49126.91971
185	49091.88018
186	49031.45662
187	48992.88916
188	48942.76759
189	48867.2983
190	48812.1449
191	48766.84304
192	48720.45712
193	48687.17968
194	48609.05998
195	48569.65339
196	48541.30973
197	48494.04786
198	48449.83694
199	48407.94767
200	48378.55772
201	48318.70036
202	48286.31399
203	48258.75239
204	48231.61306
205	48172.91101
206	48140.76278
207	48083.86907
208	48061.26173
209	48040.04656
210	48010.9996
211	47962.62451
212	47934.37174
213	47893.78215
214	47866.81367
215	47832.37504
216	47794.69251
217	47737.06574
218	47698.33901
219	47675.66041
220	47643.36312
221	47604.95644
222	47577.98297
223	47544.54126
224	47501.65178
225	47478.79209
226	47446.8504
227	47390.30314
228	47352.52647
