iter	Passed	Remaining
0	3	3087
1	5	2912
2	9	3005
3	11	2960
4	14	2905
5	17	2851
6	20	2843
7	23	2872
8	25	2834
9	28	2827
10	31	2820
11	34	2803
12	37	2809
13	39	2801
14	42	2803
15	45	2818
16	48	2817
17	51	2800
18	54	2789
19	56	2789
20	59	2792
21	62	2794
22	65	2786
23	68	2784
24	71	2772
25	73	2765
26	76	2762
27	79	2755
28	82	2751
29	84	2742
30	88	2752
31	91	2754
32	93	2748
33	96	2742
34	99	2734
35	101	2730
36	104	2721
37	107	2716
38	109	2709
39	112	2700
40	115	2702
41	118	2694
42	120	2690
43	123	2683
44	126	2679
45	129	2677
46	131	2671
47	134	2666
48	137	2663
49	139	2659
50	142	2660
51	145	2654
52	148	2652
53	151	2647
54	154	2646
55	156	2642
56	159	2637
57	162	2635
58	164	2630
59	168	2635
60	171	2632
61	173	2631
62	176	2627
63	179	2623
64	182	2628
65	185	2626
66	188	2625
67	191	2622
68	194	2621
69	196	2617
70	201	2639
71	204	2637
72	207	2630
73	209	2625
74	212	2622
75	215	2617
76	217	2611
77	220	2607
78	223	2603
79	225	2596
80	228	2592
81	231	2589
82	233	2582
83	236	2577
84	239	2573
85	242	2573
86	245	2571
87	247	2568
88	250	2565
89	253	2561
90	256	2557
91	258	2553
92	261	2549
93	263	2544
94	266	2541
95	269	2536
96	272	2533
97	274	2528
98	277	2525
99	280	2524
100	283	2519
101	285	2516
102	288	2512
103	291	2510
104	294	2509
105	297	2506
106	300	2504
107	302	2502
108	305	2497
109	308	2493
110	310	2489
111	313	2484
112	316	2481
113	319	2479
114	322	2483
115	326	2485
116	329	2489
117	333	2490
118	336	2492
119	339	2492
120	343	2493
121	346	2491
122	349	2491
123	352	2492
124	356	2497
125	359	2496
126	362	2494
127	366	2497
128	369	2494
129	372	2492
130	375	2488
131	378	2487
132	381	2487
133	384	2486
134	388	2487
135	390	2482
136	393	2480
137	396	2475
138	399	2472
139	401	2468
140	404	2464
141	407	2461
142	410	2458
143	412	2453
144	415	2450
145	418	2448
146	421	2446
147	424	2443
148	427	2441
149	430	2439
150	433	2436
151	435	2432
152	438	2428
153	441	2423
154	444	2420
155	446	2416
156	449	2413
157	452	2409
158	454	2405
159	457	2403
160	460	2400
161	463	2398
162	466	2395
163	469	2394
164	472	2392
165	475	2390
166	478	2386
167	481	2385
168	484	2383
169	487	2380
170	490	2377
171	493	2375
172	496	2373
173	499	2369
174	501	2366
175	504	2363
176	507	2360
177	510	2357
178	513	2354
179	516	2350
180	519	2349
181	521	2345
182	524	2343
183	527	2339
184	530	2336
185	533	2333
186	535	2330
187	538	2325
188	541	2322
189	544	2319
190	547	2317
191	550	2314
192	552	2311
193	555	2307
194	558	2305
195	561	2301
196	563	2298
197	566	2295
